Name,Party,Riding,Province,Status,ElectionNum
"SCOTT, Laurie ",Progressive Conservative,HALIBURTON--VICTORIA--BROCK,Ontario,0,37
"SEED, Barbara ",Marxist-Leninist Party,ST. PAUL'S,Ontario,0,37
"SEMENCHUK, Kesa Rose",Canadian Action Party,EDMONTON--STRATHCONA,Alberta,0,37
"SENIOR, Paulette ",New Democratic Party,SCARBOROUGH--ROUGE RIVER,Ontario,0,37
"SGRO, Judy ",Liberal,YORK WEST,Ontario,1,37
"SHANDRO, Daryl Janet",Communist Party of Canada,SUDBURY,Ontario,0,37
"SIKORA, Erin ",New Democratic Party,LAC-SAINT-LOUIS,Quebec,0,37
"SKELTON, Carol ",Canadian Alliance,SASKATOON--ROSETOWN--BIGGAR,Saskatchewan,1,37
"SLEAN, Sue ",New Democratic Party,BRAMPTON CENTRE,Ontario,0,37
"SMITH, Beverley ",Independent,CALGARY CENTRE,Alberta,0,37
"SMITH, Patricia ",Canadian Alliance,OXFORD,Ontario,0,37
"SNOW, Judith ",Marxist-Leninist Party,DON VALLEY EAST,Ontario,0,37
"STEVENS, Hilda ",Canadian Alliance,HALIFAX WEST,Nova Scotia,0,37
"STEWART, Dora ",Communist Party of Canada,SCARBOROUGH SOUTHWEST,Ontario,0,37
"STEWART, Jane ",Liberal,BRANT,Ontario,1,37
"STEWART, Jennifer ",New Democratic Party,CALGARY SOUTHWEST,Alberta,0,37
"STEWART, Lucy ",Progressive Conservative,SIMCOE NORTH,Ontario,0,37
"ST-GEORGES, Guylaine ",Canadian Alliance,TERREBONNE--BLAINVILLE,Quebec,0,37
"ST-HILAIRE, Caroline ",Bloc Québécois,LONGUEUIL,Quebec,1,37
"ST-JACQUES, Diane ",Liberal,SHEFFORD,Quebec,1,37
"SULLIVAN, Dagmar ",Marxist-Leninist Party,ETOBICOKE CENTRE,Ontario,0,37
"TANGRI, Nina ",Progressive Conservative,MISSISSAUGA CENTRE,Ontario,0,37
"TANTI, Sharon ",Canadian Action Party,GUELPH--WELLINGTON,Ontario,0,37
"TARNOY, Clara ",Green Party of Canada,NIAGARA FALLS,Ontario,0,37
"TAYLOR, Teresa ",Marijuana Party,OKANAGAN--COQUIHALLA,British Columbia,0,37
"TESSIER-COUTURE, Claudette ",Liberal,QUÉBEC,Quebec,0,37
"THIBEAULT, Yolande ",Liberal,SAINT-LAMBERT,Quebec,1,37
"THIVIERGE, Isabelle ",Liberal,CHARLESBOURG--JACQUES-CARTIER,Quebec,0,37
"THOMPSON, Gail ",Canadian Action Party,NORTHUMBERLAND,Ontario,0,37
"THOMPSON, Sarah ",Marxist-Leninist Party,SCARBOROUGH--AGINCOURT,Ontario,0,37
"THORPE, Arleene ",Liberal,PRINCE GEORGE--PEACE RIVER,British Columbia,0,37
"TORSNEY, Paddy ",Liberal,BURLINGTON,Ontario,1,37
"TOWNSEND, Jeannette ",Liberal,PRINCE GEORGE--BULKLEY VALLEY,British Columbia,0,37
"TREMBLAY, France ",Marxist-Leninist Party,SCARBOROUGH EAST,Ontario,0,37
"TREMBLAY, Suzanne ",Bloc Québécois,RIMOUSKI-NEIGETTE-ET-LA MITIS,Quebec,1,37
"TURTLE, Paula ",New Democratic Party,TORONTO--DANFORTH,Ontario,0,37
"UNGER, Betty ",Canadian Alliance,EDMONTON WEST,Alberta,0,37
"UR, Rose-Marie ",Liberal,LAMBTON--KENT--MIDDLESEX,Ontario,1,37
"VAILLANCOURT, Dominique ",New Democratic Party,LOTBINIÈRE--L'ÉRABLE,Quebec,0,37
"VALDIVIA, Marcela ",Bloc Québécois,WESTMOUNT--VILLE-MARIE,Quebec,0,37
"VAN DINE, Carolyn ",New Democratic Party,TOBIQUE--MACTAQUAC,New Brunswick,0,37
"VANCAS, Vicki ",Canadian Alliance,PARKDALE--HIGH PARK,Ontario,0,37
"VAUTOUR, Angela ",Progressive Conservative,BEAUSÉJOUR--PETITCODIAC,New Brunswick,0,37
"VENNE, Pierrette ",Bloc Québécois,SAINT-BRUNO--SAINT-HUBERT,Quebec,1,37
"VILLAMIZAR, Margaret ",Marxist-Leninist Party,LONDON WEST,Ontario,0,37
"WALKER-WILLIAMS, Meaghan ",Marijuana Party,NANAIMO--COWICHAN,British Columbia,0,37
"WALLACE, Nancy ",New Democratic Party,EGMONT,Prince Edward Island,0,37
"WAN, Mary ",Natural Law Party of Canada,OAK RIDGES,Ontario,0,37
"WARDMAN, Sheila Marguerite",Progressive Conservative,OKANAGAN--SHUSWAP,British Columbia,0,37
"WASYLYCIA-LEIS, Judy ",New Democratic Party,WINNIPEG NORTH CENTRE,Manitoba,1,37
"WATSON, Lou ",Progressive Conservative,THORNHILL,Ontario,0,37
"WAYNE, Elsie ",Progressive Conservative,SAINT JOHN,New Brunswick,1,37
"WELLS-MCNEIL, Kathy ",Canadian Action Party,SUDBURY,Ontario,0,37
"WHELAN, Susan ",Liberal,ESSEX,Ontario,1,37
"WHITE, Kelly Elizabeth",Green Party of Canada,VANCOUVER EAST,British Columbia,0,37
"WILL, Amanda ",New Democratic Party,LABRADOR,Newfoundland and Labrador,0,37
"WILLIAMS, Lorrie ",New Democratic Party,NEW WESTMINSTER--COQUITLAM--BURNABY,British Columbia,0,37
"WILSON, Anne ",New Democratic Party,WILD ROSE,Alberta,0,37
"WITHERLY, Rhoda ",Liberal,SKEENA,British Columbia,0,37
"WOLF, Pam ",New Democratic Party,CAMBRIDGE,Ontario,0,37
"WONG, Alice ",Canadian Alliance,VANCOUVER KINGSWAY,British Columbia,0,37
"WOODCOCK, Loretta ",New Democratic Party,VANCOUVER QUADRA,British Columbia,0,37
"WOODROW, Suzanne ",Canadian Action Party,PRINCE GEORGE--BULKLEY VALLEY,British Columbia,0,37
"YAWNEY, Iris ",No affiliation to a recognised party,DAUPHIN--SWAN RIVER,Manitoba,0,37
"YELICH, Lynne ",Canadian Alliance,BLACKSTRAP,Saskatchewan,1,37
"YOUNG, Wendy ",New Democratic Party,NIPISSING,Ontario,0,37
"ZUMPANO, Francesca ",Liberal,BURNABY--DOUGLAS,British Columbia,0,37
"ABLONCZY, Diane ",Conservative Party of Canada,CALGARY--NOSE HILL,Alberta,1,38
"ALADASS, Almaz ",Green Party of Canada,SAINT-LAURENT--CARTIERVILLE,Quebec,0,38
"ALAKKATTUSSERY, Ligy ",New Democratic Party,BEAUHARNOIS--SALABERRY,Quebec,0,38
"ALAS, Beatriz ",Communist Party of Canada,CHARLESWOOD--ST. JAMES,Manitoba,0,38
"ALBRIGHT, Terry ",New Democratic Party,SAINT JOHN,New Brunswick,0,38
"ALEXAN, Nadia ",New Democratic Party,BROSSARD--LA PRAIRIE,Quebec,0,38
"ALLARD, Carole-Marie ",Liberal,ALFRED-PELLAN,Quebec,0,38
"AMBROSE, Rona ",Conservative Party of Canada,EDMONTON--SPRUCE GROVE,Alberta,1,38
"ARCHAMBAULT, Mélanie ",New Democratic Party,CHÂTEAUGUAY--SAINT-CONSTANT,Quebec,0,38
"ASKIN, Margaret Peggy",Marxist-Leninist Party,CALGARY NORTH CENTRE,Alberta,0,38
"AUCLAIR, Lorraine ",Liberal,RIVIÈRE-DU-NORD,Quebec,0,38
"AUGUSTINE, Jean ",Liberal,ETOBICOKE--LAKESHORE,Ontario,1,38
"BACH, Karin ",Green Party of Canada,FUNDY,New Brunswick,0,38
"BAINS, Saroj ",Marxist-Leninist Party,OTTAWA SOUTH,Ontario,0,38
"BAKOPANOS, Eleni ",Liberal,AHUNTSIC,Quebec,1,38
"BARBER, Gina ",New Democratic Party,LONDON WEST,Ontario,0,38
"BARCLAY, Susan ",New Democratic Party,KENORA,Ontario,0,38
"BARIBEAU, Julie C.",Green Party of Canada,VAUDREUIL--SOULANGES,Quebec,0,38
"BARNES, Sue ",Liberal,LONDON WEST,Ontario,1,38
"BARTLEY, Leslie ",Christian Heritage Party of Canada,OXFORD,Ontario,0,38
"BEAUMIER, Colleen ",Liberal,BRAMPTON WEST,Ontario,1,38
"BECKLES, Octavia ",New Democratic Party,VAUGHAN,Ontario,0,38
"BÉDARD, Marie Martine ",Green Party of Canada,RIVIÈRE-DES-MILLE-ÎLES,Quebec,0,38
"BELL, Catherine ",New Democratic Party,VANCOUVER ISLAND NORTH,British Columbia,0,38
"BELLEFEUILLE, Pierrette ",Conservative Party of Canada,HULL--AYLMER,Quebec,0,38
"BENNETT, Carolyn ",Liberal,ST. PAUL'S,Ontario,1,38
"BERGERON, Annick ",New Democratic Party,AHUNTSIC,Quebec,0,38
"BILEY, Barbara ",Marxist-Leninist Party,NANAIMO--ALBERNI,British Columbia,0,38
"BILODEAU, Marie-Eve ",Liberal,SAINT-MAURICE--CHAMPLAIN,Quebec,0,38
"BISSON, Sonia ",New Democratic Party,SHEFFORD,Quebec,0,38
"BISSONNETTE, Cécile ",Green Party of Canada,BROSSARD--LA PRAIRIE,Quebec,0,38
"BISSONNETTE, Lise ",Green Party of Canada,MARC-AURÈLE-FORTIN,Quebec,0,38
"BLAIKIE, Rebecca ",New Democratic Party,LASALLE--ÉMARD,Quebec,0,38
"BLONDIN-ANDREW, Ethel ",Liberal,WESTERN ARCTIC,Northwest Territories,1,38
"BOBB, Yvonne ",New Democratic Party,WILLOWDALE,Ontario,0,38
"BOISVERT, Lyne ",Conservative Party of Canada,DRUMMOND,Quebec,0,38
"BOIVIN, Françoise ",Liberal,GATINEAU,Quebec,1,38
"BONSANT, France ",Bloc Québécois,COMPTON--STANSTEAD,Quebec,1,38
"BOULDING, Jo-Anne Marie",New Democratic Party,PARRY SOUND--MUSKOKA,Ontario,0,38
"BOURGEOIS, Diane ",Bloc Québécois,TERREBONNE--BLAINVILLE,Quebec,1,38
"BOUTET, Ginette ",Marxist-Leninist Party,LAURIER,Quebec,0,38
"BOWERING, Lynn ",New Democratic Party,BRANT,Ontario,0,38
"BOYDE, Pam ",New Democratic Party,YUKON,Yukon,0,38
"BOYER, Dominique ",Liberal,LAURENTIDES--LABELLE,Quebec,0,38
"BRADSHAW, Claudette ",Liberal,MONCTON--RIVERVIEW--DIEPPE,New Brunswick,1,38
"BRIÈRE, Francine ",Green Party of Canada,SHEFFORD,Quebec,0,38
"BROMWICH, Rebecca ",Green Party of Canada,LONDON WEST,Ontario,0,38
"BROUSSEAU, Catherine ",Conservative Party of Canada,RIVIÈRE-DU-NORD,Quebec,0,38
"BROWN, Alice ",New Democratic Party,NORTH OKANAGAN--SHUSWAP,British Columbia,0,38
"BROWN, M.A. Bonnie ",Liberal,OAKVILLE,Ontario,1,38
"BRUNELLE, Paule ",Bloc Québécois,TROIS-RIVIÈRES,Quebec,1,38
"BRUNET, Marie-Hélène ",Bloc Québécois,PIERREFONDS--DOLLARD,Quebec,0,38
"BRUNIE, Brunie ",Independent,NANAIMO--COWICHAN,British Columbia,0,38
"BRUSHETT, Dianne ",Liberal,NORTH NOVA,Nova Scotia,0,38
"BULTE, Sarmite (Sam) ",Liberal,PARKDALE--HIGH PARK,Ontario,1,38
"BURGIS, Jennifer ",New Democratic Party,SAANICH--GULF ISLANDS,British Columbia,0,38
"CARLSON, Debby ",Liberal,EDMONTON--STRATHCONA,Alberta,0,38
"CARR, Anna-Celestrya ",Communist Party of Canada,WINNIPEG CENTRE,Manitoba,0,38
"CARRIÈRE, Martine ",Bloc Québécois,PAPINEAU,Quebec,0,38
"CARROLL, Aileen ",Liberal,BARRIE,Ontario,1,38
"CATTERALL, Marlene ",Liberal,OTTAWA WEST--NEPEAN,Ontario,1,38
"CHALIFOUR SCHERRER, Hélene ",Liberal,LOUIS-HÉBERT,Quebec,0,38
"CHAMBERLAIN, Brenda ",Liberal,GUELPH,Ontario,1,38
"CHAMPAGNE, Andrée ",Conservative Party of Canada,SAINT-HYACINTHE--BAGOT,Quebec,0,38
"CHAN, Shirley ",Liberal,VANCOUVER EAST,British Columbia,0,38
"CHAPMAN, Carol Lee",Marxist-Leninist Party,CARIBOO--PRINCE GEORGE,British Columbia,0,38
"CHARLTON, Chris ",New Democratic Party,HAMILTON MOUNTAIN,Ontario,0,38
"CHÁVEZ, Maria Pia ",New Democratic Party,NOTRE-DAME-DE-GRÂCE--LACHINE,Quebec,0,38
"CHESNIK, Laura ",Marxist-Leninist Party,WINDSOR--TECUMSEH,Ontario,0,38
"CHEVRIER, Joëlle ",New Democratic Party,SAINT-HYACINTHE--BAGOT,Quebec,0,38
"CHOW, Olivia ",New Democratic Party,TRINITY--SPADINA,Ontario,0,38
"CHOWNE, Katrina ",Libertarian Party of Canada,VANCOUVER QUADRA,British Columbia,0,38
"CLARK, Elizabeth ",New Democratic Party,ARGENTEUIL--MIRABEL,Quebec,0,38
"CLEGG, Nancy ",New Democratic Party,NEWTON--NORTH DELTA,British Columbia,0,38
"CLUBB, Lindy ",Green Party of Canada,DAUPHIN--SWAN RIVER,Manitoba,0,38
"COADY, Siobhan ",Liberal,ST. JOHN'S SOUTH,Newfoundland and Labrador,0,38
"COGHLAN, Aisha ",Green Party of Canada,CHILLIWACK--FRASER CANYON,British Columbia,0,38
"COLELLA, Laura ",New Democratic Party,SAINT-LÉONARD--SAINT-MICHEL,Quebec,0,38
"COLLINS, Bev ",Canadian Action Party,CARIBOO--PRINCE GEORGE,British Columbia,0,38
"CORMACK, Teena ",Canadian Action Party,RED DEER,Alberta,0,38
"COTRUPI, C. Nella ",New Democratic Party,RICHMOND HILL,Ontario,0,38
"COURTOT, Pamela ",New Democratic Party,OAK RIDGES--MARKHAM,Ontario,0,38
"COUTO, Elaine ",Marxist-Leninist Party,ST. CATHARINES,Ontario,0,38
"CRANE, Dody ",New Democratic Party,CHARLOTTETOWN,Prince Edward Island,0,38
"CRANE, Mary ",Conservative Party of Canada,MALPEQUE,Prince Edward Island,0,38
"CRAWFORD, Janis ",Green Party of Canada,SAINT-BRUNO--SAINT-HUBERT,Quebec,0,38
"CROWDER, Jean ",New Democratic Party,NANAIMO--COWICHAN,British Columbia,1,38
"CROWLEY, Hilary ",Green Party of Canada,PRINCE GEORGE--PEACE RIVER,British Columbia,0,38
"CYR, Jovette ",Green Party of Canada,MADAWASKA--RESTIGOUCHE,New Brunswick,0,38
"CYR, Karine ",Marijuana Party,SOUTHERN INTERIOR,British Columbia,0,38
"DANCEY, Carla Marie ",Canadian Action Party,OTTAWA CENTRE,Ontario,0,38
"DANDENAULT, Christine ",Marxist-Leninist Party,HOCHELAGA,Quebec,0,38
"DANIELS, K. No.",No affiliation to a recognised party,NORTH OKANAGAN--SHUSWAP,British Columbia,0,38
"DAVIES, Libby ",New Democratic Party,VANCOUVER EAST,British Columbia,1,38
"DEFARIA, Riina ",Conservative Party of Canada,MISSISSAUGA EAST--COOKSVILLE,Ontario,0,38
"DELAUNIÈRE, Marjolaine ",Green Party of Canada,RIMOUSKI--TÉMISCOUATA,Quebec,0,38
"DEMERS, Nicole ",Bloc Québécois,LAVAL,Quebec,1,38
"DESCHAMPS, Johanne ",Bloc Québécois,LAURENTIDES--LABELLE,Quebec,1,38
"DESHARNAIS, Jeannine T.",Green Party of Canada,BEAUPORT,Quebec,0,38
"DESJARLAIS, Bev ",New Democratic Party,CHURCHILL,Manitoba,1,38
"DEVRIES, Irma Nicolette",Christian Heritage Party of Canada,PERTH--WELLINGTON,Ontario,0,38
"DHALLA, Ruby ",Liberal,BRAMPTON--SPRINGDALE,Ontario,1,38
"DI CARLO, Anna ",Marxist-Leninist Party,ETOBICOKE NORTH,Ontario,0,38
"DOWNER, Wynanne ",Conservative Party of Canada,HUMBER--ST. BARBE--BAIE VERTE,Newfoundland and Labrador,0,38
"DUCHESNE, Cathy ",Marijuana Party,JEANNE-LE BER,Quebec,0,38
"DUFORD, Morgan ",Green Party of Canada,CALGARY NORTHEAST,Alberta,0,38
"DUSABLON-PELLETIER, Christelle ",Marijuana Party,PAPINEAU,Quebec,0,38
"ELLIS, Ursula ",Christian Heritage Party of Canada,DUFFERIN--CALEDON,Ontario,0,38
"ELSTON, Rosie The Clown ",Independent,KINGSTON AND THE ISLANDS,Ontario,0,38
"EMBRY, Helen-Anne ",Green Party of Canada,BRANT,Ontario,0,38
"EMMERSON, Julie ",Green Party of Canada,SAULT STE. MARIE,Ontario,0,38
"ERVIN, Virginia ",Green Party of Canada,CLARINGTON--SCUGOG--UXBRIDGE,Ontario,0,38
"FADEEFF, Laurel Denise",Green Party of Canada,MACLEOD,Alberta,0,38
"FAILLE, Meili ",Bloc Québécois,VAUDREUIL--SOULANGES,Quebec,1,38
"FAYE, Robin (Pilar) ",Green Party of Canada,WINNIPEG CENTRE,Manitoba,0,38
"FINE, Marsha ",Marxist-Leninist Party,AHUNTSIC,Quebec,0,38
"FINLEY, Diane ",Conservative Party of Canada,HALDIMAND--NORFOLK,Ontario,1,38
"FISHER, Barb ",Conservative Party of Canada,HURON--BRUCE,Ontario,0,38
"FISHER BALFOUR, Janina ",Green Party of Canada,KINGSTON AND THE ISLANDS,Ontario,0,38
"FISHER-BRADLEY, Jen ",Independent,ESQUIMALT--JUAN DE FUCA,British Columbia,0,38
"FOGAL, Connie ",Canadian Action Party,VANCOUVER QUADRA,British Columbia,0,38
"FOISY, Louise ",New Democratic Party,LÉVIS--BELLECHASSE,Quebec,0,38
"FOLCO, Raymonde ",Liberal,LAVAL--LES ÎLES,Quebec,1,38
"FORTIER, Ann Julie ",Conservative Party of Canada,BERTHIER--MASKINONGÉ,Quebec,0,38
"FOUGERE, Sheila ",Liberal,HALIFAX,Nova Scotia,0,38
"FOURNIER-SYLVESTER, Nicole ",New Democratic Party,LONGUEUIL,Quebec,0,38
"FOX, Daria ",New Democratic Party,CALGARY SOUTHWEST,Alberta,0,38
"FRACASSI, Jessica ",Green Party of Canada,YORK SOUTH--WESTON,Ontario,0,38
"FRULLA, Liza ",Liberal,JEANNE-LE BER,Quebec,1,38
"FRY, Hedy ",Liberal,VANCOUVER CENTRE,British Columbia,1,38
"GAGNON, Christiane ",Bloc Québécois,QUÉBEC,Quebec,1,38
"GAL, Jessica ",Green Party of Canada,NOTRE-DAME-DE-GRÂCE--LACHINE,Quebec,0,38
"GALL, Marcella ",Green Party of Canada,CHURCHILL RIVER,Saskatchewan,0,38
"GALLAGHER, Lisa ",Communist Party of Canada,BRANDON--SOURIS,Manitoba,0,38
"GALLANT, Cheryl ",Conservative Party of Canada,RENFREW--NIPISSING--PEMBROKE,Ontario,1,38
"GARCIA, Monique ",New Democratic Party,SAINT-LAMBERT,Quebec,0,38
"GÉNÉREUX, Lyse ",New Democratic Party,MARC-AURÈLE-FORTIN,Quebec,0,38
"GERL, Sylvia ",New Democratic Party,YORK--SIMCOE,Ontario,0,38
"GHADDAR, Jamile ",Marxist-Leninist Party,HAMILTON CENTRE,Ontario,0,38
"GIBSON, Janine G.",Green Party of Canada,PROVENCHER,Manitoba,0,38
"GIDORA, Hanne ",Communist Party of Canada,BURNABY--DOUGLAS,British Columbia,0,38
"GIRARD, Nancy ",Liberal,MARC-AURÈLE-FORTIN,Quebec,0,38
"GIRARD-BUJOLD, Jocelyne ",Independent,JONQUIÈRE--ALMA,Quebec,0,38
"GIROUARD, Anna ",Green Party of Canada,BEAUSÉJOUR,New Brunswick,0,38
"GOFF, Pat ",Canadian Action Party,PORT MOODY--WESTWOOD--PORT COQUITLAM,British Columbia,0,38
"GOLDSMITH, Andrea ",Green Party of Canada,WEST VANCOUVER--SUNSHINE COAST,British Columbia,0,38
"GOLDSTEIN, Shel ",Green Party of Canada,EGLINTON--LAWRENCE,Ontario,0,38
"GORCHINSKY, Wendy ",Green Party of Canada,JOLIETTE,Quebec,0,38
"GOTS, Barra L.",Christian Heritage Party of Canada,BRANT,Ontario,0,38
"GRANT, Judith ",Conservative Party of Canada,PONTIAC,Quebec,0,38
"GRASS, Starleigh ",New Democratic Party,KELOWNA,British Columbia,0,38
"GREEN, Catherine ",New Democratic Party,WINNIPEG SOUTH,Manitoba,0,38
"GREEN, Dana ",Canadian Action Party,BURNABY--NEW WESTMINSTER,British Columbia,0,38
"GREEN, Susan L.",Liberal,CENTRAL NOVA,Nova Scotia,0,38
"GREWAL, Nina ",Conservative Party of Canada,FLEETWOOD--PORT KELLS,British Columbia,1,38
"GUARNIERI, Albina ",Liberal,MISSISSAUGA EAST--COOKSVILLE,Ontario,1,38
"GUAY, Monique ",Bloc Québécois,RIVIÈRE-DU-NORD,Quebec,1,38
"GUERGIS, Helena ",Conservative Party of Canada,SIMCOE--GREY,Ontario,1,38
"GUNN, Vicki ",Christian Heritage Party of Canada,YORK--SIMCOE,Ontario,0,38
"GUSTAFSON, Carmen ",Green Party of Canada,KOOTENAY--COLUMBIA,British Columbia,0,38
"HAGAN, Janice ",New Democratic Party,MARKHAM--UNIONVILLE,Ontario,0,38
"HALIBURTON, Mary-Sue ",Canadian Action Party,OTTAWA WEST--NEPEAN,Ontario,0,38
"HALL FINDLAY, Martha ",Liberal,NEWMARKET--AURORA,Ontario,0,38
"HAMEL, Judith ",Green Party of Canada,MONCTON--RIVERVIEW--DIEPPE,New Brunswick,0,38
"HARRIS, Megan ",Conservative Party of Canada,TORONTO CENTRE,Ontario,0,38
"HARTERY, Shirley ",New Democratic Party,CAPE BRETON--CANSO,Nova Scotia,0,38
"HAWLEY, Shirley ",Communist Party of Canada,YORK SOUTH--WESTON,Ontario,0,38
"HENRETTA, Marie ",New Democratic Party,SAINT-BRUNO--SAINT-HUBERT,Quebec,0,38
"HERLE, Allyce ",Liberal,REGINA--QU'APPELLE,Saskatchewan,0,38
"HÉROUX, Hélène ",Marxist-Leninist Party,HONORÉ-MERCIER,Quebec,0,38
"HIGGINBOTHAM, Judy ",Liberal,SOUTH SURREY--WHITE ROCK--CLOVERDALE,British Columbia,0,38
"HILL, Jen ",New Democratic Party,SIMCOE NORTH,Ontario,0,38
"HINTON, Betty ",Conservative Party of Canada,KAMLOOPS--THOMPSON,British Columbia,1,38
"HOFFMAN, Rachel ",Marxist-Leninist Party,NOTRE-DAME-DE-GRÂCE--LACHINE,Quebec,0,38
"HOLLOWAY, Kathryn ",Green Party of Canada,SCARBOROUGH--ROUGE RIVER,Ontario,0,38
"HOLMES, Joyce ",Communist Party of Canada,SURREY NORTH,British Columbia,0,38
"HUGGINS, Piper ",New Democratic Party,BROME--MISSISQUOI,Quebec,0,38
"HUGHES, Carol ",New Democratic Party,ALGOMA--MANITOULIN--KAPUSKASING,Ontario,0,38
"JAMIESON, Anne ",Marxist-Leninist Party,WEST VANCOUVER--SUNSHINE COAST,British Columbia,0,38
"JENNINGS, Marlene ",Liberal,NOTRE-DAME-DE-GRÂCE--LACHINE,Quebec,1,38
"JEWELL, Heather ",Conservative Party of Canada,SCARBOROUGH SOUTHWEST,Ontario,0,38
"JOHNSTON, Diane ",Marxist-Leninist Party,MONT ROYAL,Quebec,0,38
"JONCAS, Sophie ",Liberal,CHAMBLY--BORDUAS,Quebec,0,38
"JOUBERT, Diane ",Green Party of Canada,SAINT-LAMBERT,Quebec,0,38
"JUNEAU, Blanche ",Liberal,DEWDNEY--ALOUETTE,British Columbia,0,38
"KADIS, Susan ",Liberal,THORNHILL,Ontario,1,38
"KARETAK-LINDELL, Nancy ",Liberal,NUNAVUT,Nunavut,1,38
"KAUR, H. Pummy",New Democratic Party,SOUTH SURREY--WHITE ROCK--CLOVERDALE,British Columbia,0,38
"KEVANY, Kathleen ",New Democratic Party,CHATHAM-KENT--ESSEX,Ontario,0,38
"KHAN, Fauzia ",New Democratic Party,SCARBOROUGH--ROUGE RIVER,Ontario,0,38
"KIELER, Gloria Anne",Christian Heritage Party of Canada,VANCOUVER EAST,British Columbia,0,38
"KIRBY, Mary Lou ",Green Party of Canada,SIMCOE NORTH,Ontario,0,38
"KIRKEBY, Peggy ",New Democratic Party,WESTLOCK--ST. PAUL,Alberta,0,38
"KLASSEN, Linda ",Christian Heritage Party of Canada,ST. CATHARINES,Ontario,0,38
"KRISS, Marsha Gail",Green Party of Canada,TIMMINS--JAMES BAY,Ontario,0,38
"KUNSCHNER, Zoé Dorcas ",New Democratic Party,OXFORD,Ontario,0,38
"KUNZ, Revel ",Green Party of Canada,BURNABY--NEW WESTMINSTER,British Columbia,0,38
"KWAN, Jeannie ",No affiliation to a recognised party,VANCOUVER KINGSWAY,British Columbia,0,38
"LABCHUK, Sharon ",Green Party of Canada,MALPEQUE,Prince Edward Island,0,38
"LAFOREST, Lucie ",Green Party of Canada,RICHMOND--ARTHABASKA,Quebec,0,38
"LALONDE, Francine ",Bloc Québécois,LA POINTE-DE-L'ÎLE,Quebec,1,38
"LAM, Ellena ",Progressive Canadian Party,RICHMOND HILL,Ontario,0,38
"LANDRY, Rita ",New Democratic Party,DUFFERIN--CALEDON,Ontario,0,38
"LAPOINTE, Hélène ",New Democratic Party,MONCTON--RIVERVIEW--DIEPPE,New Brunswick,0,38
"LAVALLÉE, Carole ",Bloc Québécois,SAINT-BRUNO--SAINT-HUBERT,Quebec,1,38
"LAVOIE, Linda ",Green Party of Canada,TROIS-RIVIÈRES,Quebec,0,38
"LEBLANC, Crystal ",New Democratic Party,OTTAWA--ORLÉANS,Ontario,0,38
"LEONHARDT, Shelley ",Liberal,DELTA--RICHMOND EAST,British Columbia,0,38
"LEPAGE, Lisette ",Liberal,CHARLEVOIX--MONTMORENCY,Quebec,0,38
"LIFTON, Diana E.",Canadian Action Party,NANAIMO--ALBERNI,British Columbia,0,38
"LONGFIELD, Judi ",Liberal,WHITBY--OSHAWA,Ontario,1,38
"LOPINTO, Noémi ",Green Party of Canada,BOURASSA,Quebec,0,38
"LUSTGARTEN, Danielle ",New Democratic Party,PIERREFONDS--DOLLARD,Quebec,0,38
"MACALPINE-GILLIS, Susan ",New Democratic Party,DARTMOUTH--COLE HARBOUR,Nova Scotia,0,38
"MACDIARMID, Jane ",Christian Heritage Party of Canada,WINNIPEG SOUTH,Manitoba,0,38
"MACDONALD, Alexis ",New Democratic Party,CENTRAL NOVA,Nova Scotia,0,38
"MACDONALD, Elaine ",New Democratic Party,STORMONT--DUNDAS--SOUTH GLENGARRY,Ontario,0,38
"MACDONALD, Karen ",Green Party of Canada,AJAX--PICKERING,Ontario,0,38
"MAH, Valerie ",New Democratic Party,DON VALLEY EAST,Ontario,0,38
"MAHONEY, Lorene ",New Democratic Party,KILDONAN--ST. PAUL,Manitoba,0,38
"MANN, Tracey  Jastinder ",Green Party of Canada,VANCOUVER KINGSWAY,British Columbia,0,38
"MANNING, Bernadette ",Green Party of Canada,OAK RIDGES--MARKHAM,Ontario,0,38
"MAREAN, Margaret ",Green Party of Canada,EDMONTON--SHERWOOD PARK,Alberta,0,38
"MARLEAU, Diane ",Liberal,SUDBURY,Ontario,1,38
"MARTINEAU, Louise ",Green Party of Canada,BROME--MISSISQUOI,Quebec,0,38
"MARTINO, Lori-Ann ",Green Party of Canada,LABRADOR,Newfoundland and Labrador,0,38
"MATHYSSEN, Irene ",New Democratic Party,LONDON--FANSHAWE,Ontario,0,38
"MATTHEWS, Erin Marie",Green Party of Canada,LETHBRIDGE,Alberta,0,38
"MAZIGH, Monia ",New Democratic Party,OTTAWA SOUTH,Ontario,0,38
"MCCLUSKY, Cathy ",Liberal,CALGARY NORTH CENTRE,Alberta,0,38
"MCDONOUGH, Alexa ",New Democratic Party,HALIFAX,Nova Scotia,1,38
"MCDOWALL, Sharleen ",Green Party of Canada,BRAMALEA--GORE--MALTON,Ontario,0,38
"MCHUGH, Margaret Anne ",New Democratic Party,ETOBICOKE--LAKESHORE,Ontario,0,38
"MCLELLAN, Anne ",Liberal,EDMONTON CENTRE,Alberta,1,38
"MCMASTER, Meghan ",New Democratic Party,EDMONTON CENTRE,Alberta,0,38
"MCSHEFFREY, Sue ",New Democratic Party,RENFREW--NIPISSING--PEMBROKE,Ontario,0,38
"MESLO, Bev ",New Democratic Party,VANCOUVER SOUTH,British Columbia,0,38
