"ID","name","exitDataSet","lastElection","termsServed","finalVotePct","Party","needGhostRow"
6336,"GAUTHIER, J. Leoda",1,"1957-06-10",3,42.6,"Lib",1
6351,"RICHARD, J. T.",1,"1968-06-25",8,78.64,"Lib",1
6366,"MCDONALD, Bucko",1,"1953-08-10",2,49.77,"Lib",1
6388,"GOUR, Joseph Omer",1,"1958-03-31",4,50.34,"Lib",1
6395,"FERGUSON, Julian Harcourt",1,"1953-08-10",2,51.61,"P.C.",1
6397,"CROLL, David A.",1,"1953-08-10",2,56.85,"Lib",1
6401,"BREWIN, Andrew",1,"1974-07-08",5,34.73,"N.D.P.",1
6410,"HODGSON, Clayton W.",1,"1962-06-18",5,54.64,"P.C.",1
6429,"SMITH, Jack",1,"1953-08-10",2,48.92,"Lib",1
6441,"MACLEAN, J. Angus",1,"1974-07-08",9,50.61,"P.C.",1
6462,"PINARD, Roch",1,"1953-08-10",2,66.2,"Lib",1
6469,"GOURD, David",1,"1953-08-10",2,49.79,"Lib",1
6502,"LAPALME, Georges Emile",1,"1949-06-27",1,57.35,"Lib",1
6507,"MARQUIS, Eugene",1,"1949-06-27",1,71.32,"Lib",1
6512,"DION, Joseph Alfred",1,"1949-06-27",1,49.66,"Lib",1
6527,"COTE, A. Phileas",1,"1949-06-27",1,50.29,"Lib",1
6539,"LESAGE, Jean",1,"1958-03-31",4,52.18,"Lib",1
6546,"RINFRET, Edouard G.",1,"1949-06-27",1,76.32,"Lib",1
6577,"BELZILE, Gleason",1,"1949-06-27",1,48.38,"Lib",1
6609,"BEAUDRY, Roland",1,"1957-06-10",3,40.98,"Lib",1
6614,"COTE, Alcide",1,"1953-08-10",2,87.78,"Lib",1
6642,"BEAUDOIN, Louis Rene",1,"1957-06-10",3,68.49,"Lib",1
6655,"RAYMOND, Leon Joseph",1,"1949-06-27",1,65.72,"Lib",1
6694,"HAMILTON, Alvin",1,"1984-09-04",4,49.83,"P.C.",1
6727,"COURNOYER, Gerard",1,"1949-06-27",1,66.53,"Lib",1
6730,"HARTT, Maurice",1,"1949-06-27",1,52.75,"Lib",1
6748,"PEARSON, Lester B.",1,"1965-11-08",7,54.15,"Lib",1
6751,"BOUCHER, William Albert",1,"1949-06-27",1,61.99,"Lib",1
6754,"NOWLAN, George Clyde",1,"1963-04-08",5,49.76,"P.C.",1
6758,"DREW, George Alexander",1,"1953-08-10",2,55.25,"P.C.",1
6788,"PRUDHAM, George",1,"1953-08-10",1,43.02,"Lib",1
6802,"DECORE, John",1,"1953-08-10",1,46.98,"Lib",1
6815,"BYRNE, Jim",1,"1965-11-08",2,31.67,"Lib",1
6833,"MACDOUGALL, John Lorne",1,"1953-08-10",1,34.72,"Lib",1
6862,"CHURCHILL, Gordon",1,"1965-11-08",6,41.84,"P.C.",1
6869,"MCWILLIAM, George Roy",1,"1965-11-08",6,51.65,"Lib",1
6886,"CARTER, Chesley William",1,"1965-11-08",6,74.9,"Lib",1
6888,"ASHBOURNE, Thomas Gordon William",1,"1957-06-10",2,75.41,"Lib",1
6897,"STICK, Leonard T.",1,"1957-06-10",2,69.28,"Lib",1
6963,"BENNETT, Colin Emerson",1,"1953-08-10",1,48.04,"Lib",1
7004,"GARLAND, Jack",1,"1963-04-08",5,59.59,"Lib",1
7053,"EYRE, Karl Arless",1,"1953-08-10",1,39.74,"Lib",1
7057,"CONACHER, Lionel",1,"1953-08-10",1,40.94,"Lib",1
7068,"HOSKING, Henry Alfred",1,"1953-08-10",1,45.4,"Lib",1
7079,"MACDONALD, John A.",1,"1958-03-31",1,56.37,"P.C.",1
7084,"VALOIS, Philippe",1,"1957-06-10",2,41.89,"Lib",1
7094,"LANGLOIS, Joseph",1,"1957-06-10",2,53.52,"Lib",1
7107,"ROCHEFORT, Irenee",1,"1957-06-10",2,57.95,"Lib",1
7137,"COURTEMANCHE, Henri",1,"1958-03-31",1,58.06,"P.C.",1
7142,"RATELLE, J. Georges",1,"1958-03-31",3,51.35,"Lib",1
7169,"MACNAUGHTON, Alan",1,"1963-04-08",5,70.35,"Lib",1
7172,"BOISVERT, Maurice",1,"1953-08-10",1,49.2,"Lib",1
7176,"MEUNIER, Adrien",1,"1962-06-18",3,54.93,"Lib",1
7246,"BALCER, Leon",1,"1963-04-08",5,44.69,"P.C.",1
7254,"DUMAS, Armand",1,"1958-03-31",3,35.01,"Lib",1
7305,"NADON, Joseph Celestin",1,"1953-08-10",1,65.79,"Lib",1
