"sum","parliament_number","pid","mid"
"7336",35,5282,3328
"7350",41,9276,4172
"7549",36,4697,3160
"7579",37,3709,3639
"7579",38,248,1474
"7614",41,7,4121
"7625",40,8353,4033
"7665",39,61,1369
"7673",35,7665,3236
"7699",40,559,941
"7818",40,459,604
"7845",38,118,3165
"7908",35,7089,3135
"7953",35,6633,3059
"7965",36,5024,2680
"7985",38,257,1412
"8046",38,281,1401
"8227",37,70,1735
"8262",37,5235,2722
"8305",40,58,368
"8369",41,614,1229
"8414",36,184,3232
"8417",37,2698,1775
"8428",38,3518,3228
"8462",37,50,3681
"8504",36,5472,3074
"8641",38,180,1348
"8732",39,180,1348
"8786",38,249,1399
"8805",38,120,1246
"8879",38,149,2538
"8932",38,218,1600
"8965",36,5767,3131
"8985",37,106,2592
"8992",35,176,3250
"9098",36,3574,3675
"9099",37,3500,2622
"9120",40,180,1348
"9278",37,184,3232
"9355",35,5781,3136
"9358",36,2993,3061
"9440",36,118,3165
"9492",36,4655,3203
"9702",36,205,2553
"9781",37,3425,2596
"9804",38,265,1324
"9853",36,180,3153
"9905",38,156,1517
"9911",36,4425,2555
"9923",40,307,1529
"10031",36,127,3197
"10138",39,35,1700
"10145",38,100,1645
"10152",38,3415,1388
"10194",36,3410,2594
"10242",37,224,3303
"10270",38,115,1495
"10286",38,2584,3237
"10312",36,3500,2622
"10369",38,12,1491
"10463",39,106,2592
"10562",38,245,1239
"10639",38,3164,1298
"10719",36,81,3693
"10793",39,70,690
"10875",38,46,1383
"10958",37,20,2556
"10962",39,550,829
"10962",41,2301,4072
"10964",36,4646,3201
"11087",38,2219,1627
"11204",38,299,2625
"11233",40,7,1242
"11241",38,68,2668
"11299",37,3383,3180
"11330",35,7507,3211
"11367",37,1435,2571
"11517",38,219,3654
"11580",36,4332,3133
"11665",35,6014,3196
"11668",37,61,3176
"11713",37,89,3686
"11811",37,274,3184
"11825",38,88,1350
"11837",37,27,2642
"11856",36,4589,3190
"11943",35,2584,3237
"12092",38,140,3127
"12097",38,3242,1323
"12214",37,3242,3651
"12233",38,7,1242
"12343",36,6410,3299
"12348",36,6237,3244
"12366",35,70,3234
"12372",38,48,1524
"12386",35,194,3251
"12458",37,1698,3229
"12504",37,140,3127
"12519",38,1698,3229
"12558",38,227,3242
"12579",38,3028,1260
"12585",36,140,3127
"12634",40,127,1389
"12764",38,282,1508
"12791",38,91,1328
"12818",39,187,3285
"12858",36,4118,3679
"12896",37,2599,2646
"12940",41,9294,4180
"12943",38,183,1302
"13032",37,4697,1709
"13095",40,406,342
"13106",38,274,3184
"13275",38,294,1377
"13320",38,157,1415
"13346",36,2584,3237
"13405",37,4830,2638
"13427",41,411,358
"13436",38,2599,1441
"13449",36,135,3670
"13533",38,242,1640
"13599",38,10,1460
"13696",40,615,978
"13749",38,3410,2594
"13958",37,5111,1795
"13973",38,2241,3139
"13994",35,7780,3259
"14008",38,1757,3688
"14037",35,76,3683
"14116",38,106,2592
"14147",37,2993,3061
"14221",41,165,1436
"14239",40,605,1190
"14339",38,184,3232
"14398",37,4823,3233
"14482",41,8675,4096
"14488",36,3905,3694
"14541",38,3613,1458
"14564",36,6510,2734
"14676",35,7373,3191
"14780",35,5024,3276
"14783",38,3127,1289
"14866",36,3344,2569
"15135",40,163,1429
"15141",37,4339,3682
"15188",40,602,967
"15260",38,153,1393
"15288",35,4589,3190
"15339",38,36,1469
"15526",38,139,1343
"15528",35,7803,3266
"15568",37,3820,2720
"15586",38,41,1824
"15713",38,147,1431
"15752",37,100,1645
"15767",40,12,1491
"15826",35,7278,3173
"15860",38,3465,2611
"15902",38,3608,2662
"15931",38,3899,1259
"15938",36,1757,3688
"16013",37,2733,3646
"16090",37,227,3242
"16129",38,55,1403
"16155",39,278,892
"16166",37,3415,2589
"16167",37,194,3251
"16221",38,240,1358
"16248",39,232,541
"16249",36,3229,2528
"16317",37,2313,3159
"16337",37,115,3645
